Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
d2a807ad-f5a4-3046-8023-4e9220c924da,74ab949d-17ac-3309-83a0-13b4405c66aa,Ted Reilly,M,GENERAL PRACTICE,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,261,0
2c7992b9-5f74-36d9-8d6e-7fd8d8770bf4,faffaf6a-ee1a-3673-b0b0-421a9c249244,Gustavo Armstrong,M,GENERAL PRACTICE,66 WASHINGTON ST,STOUGHTON,MA,020722571,42.14415820061801,-71.10378319512402,14,0
23a28a42-eb73-3fe5-a62c-d022e2e003f3,17a4bae5-8b64-34d7-8144-b428be027bd0,Lindsay Ward,M,GENERAL PRACTICE,512 MAIN STREET  SUITE 211,SHREWSBURY,MA,015456406,42.295109499999995,-71.71808471110307,1,0
576937e7-4f79-30df-a202-3d4c07890ee0,4112b8b1-59df-3255-a7ca-f42ee0a4cb2e,Nereida Feeney,F,GENERAL PRACTICE,37 ROUTE 6A,SANDWICH,MA,025631801,41.766329400000004,-70.5147600346998,1,0
6ae2f1c9-d6f1-35f5-9c53-257a7a49b4a3,e09d4c49-c2ef-3b0f-9a46-3719d9219306,Jules Emard,M,GENERAL PRACTICE,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,14,0
1de5d74e-8bbf-3d52-8adf-24a1e54437c2,ef5390b4-cba5-3d83-96db-af783a7adb43,Milan Anderson,M,GENERAL PRACTICE,360 MERRIMACK ST,MALDEN,MA,021482329,42.4250964,-71.066163,1,0
c5a8f79d-7b94-36ef-a369-f66787ec3161,5becf220-2978-3f33-bd38-9326947f85de,Tijuana Leannon,F,GENERAL PRACTICE,240 LYNNFIELD STREET,PEABODY,MA,019605055,42.5141736,-70.97106354209534,3,0
1daa14d8-d0ba-372e-a3df-220d727d33bf,2936ca90-6594-357d-be14-53fe0ab84dd1,Avis Ankunding,F,GENERAL PRACTICE,11 TREMONT ST,KINGSTON,MA,023641231,42.00823215,-70.72984043580247,121,0
d7b8b3de-5620-38b0-945f-dc805ce63566,ab701a70-a658-340e-8f69-ee196a7d40c6,Jolie Parisian,F,GENERAL PRACTICE,484 RTE 134,WORCESTER,MA,016071728,42.2625621,-71.8018877,43,0
d73661b8-8cf0-314c-9695-bdb033b09431,11ba6a26-59b4-3728-a268-6dc9929962b4,Angelic McCullough,F,GENERAL PRACTICE,200 GOVERNORS AVENUE,MEDFORD,MA,021551644,42.42711615,-71.1121606632448,18,0
2398a6dc-ebb7-358c-94f1-d1fdc936eb3e,f736c0f5-6d39-3e26-8ac1-39e1fc60dfbe,Raúl Armendáriz,M,GENERAL PRACTICE,11 QUARRY HILL ROAD,LEE,MA,012389645,42.2816564,-73.25307843923315,28,0
2bf6f0a4-88f2-37fc-ae73-bc3ee59e33c7,71472d9b-aa5c-3b49-a5c3-d0eee8859015,Tyree Kutch,M,GENERAL PRACTICE,118 WATERHOUSE RD STE C,BOURNE,MA,025328305,41.7281115,-70.5861571324252,48,0
10273ebf-8aa3-3052-8171-d32aa2b7f8d2,8a2e2731-3240-39d1-b4f0-cad14200937d,Carter Ritchie,M,GENERAL PRACTICE,88 WASHINGTON ST,TAUNTON,MA,027802465,41.9062805,-71.09518121351795,2,0
5c891839-ab40-33dc-b155-07b3ccd4c9af,52ecddd8-42f6-35cc-88a5-cf474c02fb49,Maxima Fahey,F,GENERAL PRACTICE,94 OBERY STREET,PLYMOUTH,MA,023602130,41.93725,-70.65503160208334,4,0
67948c15-d320-3960-957b-a8a1aac2e3c2,817a1428-2045-3e89-9fa2-ef7d287d6fa5,Gracia Schuster,F,GENERAL PRACTICE,70-71 N PARISH RD,LAWRENCE,MA,01843,42.690315,-71.150015,30,0
1ad7ea4b-bb84-3364-a8e9-11ee25195266,667b46fe-0afa-3f70-a311-bbe3d52db050,Mickey Borer,F,GENERAL PRACTICE,757 BOSTON POST RD,WORCESTER,MA,016071728,42.231371,-72.165386,5,0
28d23a6c-47c6-345c-be17-5d11057519e2,a4af40b8-0ddb-34bb-ae4a-95a17e9ad6f3,Tambra Heaney,F,GENERAL PRACTICE,100 MYLES STANDISH BOULEVARD  SUITE 103,TAUNTON,MA,027807340,41.948930849999996,-71.14141318475193,6,0
0ba52f45-0db8-39a4-ba59-1521a5feab49,775df862-d2d1-3a68-9814-043f6aa6ea66,Kimberlee Barrows,F,GENERAL PRACTICE,770 CONVERSE ST,LONGMEADOW,MA,011061719,42.0639853,-72.5521444,2,0
b605a8a6-85b4-31c8-85aa-c1fac8c519d1,8447e2c7-df8d-3e1f-9d88-b67dcca2bcb6,Shirley Baumbach,F,GENERAL PRACTICE,22 HILLSIDE AVE,GROTON,MA,014501284,42.61232115,-71.5798529093222,1,0
6073fa68-afd3-3b6a-ba6b-1bc4456e0e64,5fcff9db-16e4-3e56-aa78-abbc16338097,Margene Schamberger,F,GENERAL PRACTICE,295 VARNUM AVE,WESTFORD,MA,018863513,42.5792583,-71.4378411,90,0
23ac7a35-e129-30de-84c2-422a723a2448,fa09396a-2926-3b21-ad0c-9f6cabbce0eb,Brigitte Bartoletti,F,GENERAL PRACTICE,1210 BOSTON PROVIDENCE TPKE,NORWOOD,MA,020625061,42.1714075,-71.1951186,118,0
bcc333df-d194-3d1c-a62f-3407c870266c,84abfbd5-41c1-3df4-9b31-7ca93cb2309a,Jean Block,F,GENERAL PRACTICE,85 HERRICK ST,BEVERLY,MA,019151790,42.56415055,-70.8751357650672,43,0
9e506ecc-a5f8-3193-9416-fe874b485473,1ddd51d1-7297-3c3b-bad5-98aecd5e4a79,Derrick Kub,M,GENERAL PRACTICE,127 CAMBRIDGE STREET  SUTIE #2B,BURLINGTON,MA,018033735,42.50188325,-71.19559351572005,7,0
aa4ffcb6-987a-3a38-a0c5-8af49f0fde5c,c272e12f-e154-3fee-b05d-b7c0cab2657d,Trinidad King,M,GENERAL PRACTICE,800 WASHINGTON ST,NORWOOD,MA,020623487,42.1886973,-71.2005241,29,0
565ca130-4ad8-3a9f-a224-eedb3e903ff5,b66db758-a205-3227-9cfb-bf19d2c1962d,Noreen Stroman,F,GENERAL PRACTICE,121 HARVARD AVENUE  2ND FL,ALLSTON,MA,021342702,42.35241825,-71.13220132573996,1,0
991be996-f81b-3578-b27c-6299e380f148,b99b7849-2b53-33fb-8ce2-e3a95f17ae51,Diego Pouros,M,GENERAL PRACTICE,910 BOSTON POST ROAD SUITE 320,MARLBOROUGH,MA,017523761,42.355106,-71.47654,29,0
9a305e41-ff68-3e7d-9674-4e735f6eddab,f6a306cf-7bd6-35f4-a6b7-2d07d273914c,Conchita Tirado,F,GENERAL PRACTICE,63 FOUNTAIN ST STE 402,FRAMINGHAM,MA,017026280,42.27595495,-71.42631150114194,75,0
a85cff7d-ede6-34fb-86ac-80e59094d99d,f549a720-814b-3dc6-ae77-6376a22564ee,Perry Prosacco,M,GENERAL PRACTICE,209 COUNTY RD,NORTH FALMOUTH,MA,02556,41.6459404,-70.6183639,1,0
21589b50-c2ce-3905-9985-e690a4e19b48,2cf06ddc-4c55-3c91-98f1-fb0188079c27,Alena Rolfson,F,GENERAL PRACTICE,10 VETERANS MEMORIAL DRIVE,MILFORD,MA,017572900,42.14682295,-71.50153080894427,2,0
84ffe262-6f95-379d-a5d2-2c3193ff539e,5f7663da-4b19-3629-b8f2-fb07d75421d9,Savanna Johnson,F,GENERAL PRACTICE,42 ASBURY ST,SOUTH HAMILTON,MA,019821808,42.61322825,-70.87300675048934,15,0
b62df39d-8af3-3301-b50e-cf9b531ee5ff,5fa5e611-be3d-3ebb-8f71-124325f6005f,Rachele Nikolaus,F,GENERAL PRACTICE,480 ROUTE 6A,EAST SANDWICH,MA,025371438,41.742172,-70.45251,76,0
50021784-4ed4-3a72-b6cd-dd1da0fec8d7,2b84e56e-08b4-3078-b3ea-4d159208e065,Verda Bahringer,F,GENERAL PRACTICE,1029 PLEASANT ST,BRIDGEWATER,MA,023242301,41.9718173,-71.00937893001648,16,0
b937a52f-3ab2-3da4-83e3-470a274e86a1,4ffa4412-1493-3beb-b8f0-6614dde953a4,Harland Ryan,M,GENERAL PRACTICE,363 HIGHLAND AVENUE,WAREHAM,MA,025715011,41.745636,-70.658192,331,0
0902c808-c4e1-3f10-8a16-1ec937a7cc5b,ede4a423-6258-3ef5-b5ba-0fa6bb579563,María Cristina Ureña,F,GENERAL PRACTICE,326 NICHOLS ROAD,FITCHBURG,MA,014205478,42.5974358,-71.80761197366103,28,0
7599afca-50d0-3107-a0b7-05d9e35c752c,a14e698d-a9ba-3eae-9c8b-682ec726433d,Brian Cummerata,M,GENERAL PRACTICE,776 WESTERN AVE,LYNN,MA,019052408,42.466763,-70.9494939,53,0
323a65b2-bfd1-371b-8a69-cc22371cdfa4,dd9914b0-9491-3330-a890-d34e95e497ea,Taylor Haley,M,GENERAL PRACTICE,1061 PLEASANT ST,NEW BEDFORD,MA,027406728,41.64280275,-70.92865004309593,12,0
